scooter_id,xcoordinate,ycoordinate,power_level,density,avg_power_lv,charging_time
0,0.906835415,0.7764836559999999,0,1371,2.453683442742524,5
1,0.928587101,0.804963535,2,1314,2.454337899543379,3
2,0.904091137,0.784043026,1,1335,2.4569288389513106,4
3,0.9067523059999999,0.804461476,0,1314,2.4596651445966513,5
4,0.9006413320000001,0.781682623,4,1323,2.4588057445200304,1
5,0.8996803459999999,0.790892536,2,1315,2.458555133079848,3
6,0.873765362,0.8087066359999999,4,1296,2.4598765432098766,1
7,0.913475725,0.789742473,5,1371,2.4595185995623634,0
8,0.915255652,0.7906853429999999,4,1376,2.453488372093023,1
9,0.9162729270000001,0.7858601470000001,5,1457,2.46328071379547,0
10,0.906846838,0.8058068279999999,0,1314,2.4596651445966513,5
11,0.905919248,0.811344341,3,1313,2.4584920030464583,2
12,0.901493082,0.791248851,1,1317,2.4586180713743357,4
13,0.90426412,0.797024127,1,1317,2.4555808656036446,4
14,0.8986574409999999,0.799971543,2,1313,2.4584920030464583,3
15,0.885372377,0.780831426,1,1312,2.4588414634146343,4
16,0.884461798,0.799251719,2,1312,2.4588414634146343,3
17,0.9264810459999999,0.8020185009999999,4,1330,2.4526315789473685,1
18,0.904266032,0.803248782,2,1313,2.4584920030464583,3
19,0.904424552,0.792057115,0,1321,2.4587433762301285,5
20,0.8756200190000001,0.801346346,0,1305,2.4597701149425286,5
21,0.900620964,0.8108400440000001,3,1313,2.4584920030464583,2
22,0.89472533,0.8066053559999999,4,1313,2.4584920030464583,1
23,0.9115559409999999,0.784681159,5,1405,2.4669039145907474,0
24,0.8967050790000001,0.80167712,4,1313,2.4584920030464583,1
25,0.895725088,0.790988754,2,1313,2.4584920030464583,3
26,0.8947693870000001,0.78390922,2,1314,2.458904109589041,3
27,0.88505307,0.7944009559999999,2,1312,2.4588414634146343,3
28,0.9120295140000001,0.794156816,0,1337,2.4584891548242336,5
29,0.9052919909999999,0.797359652,1,1318,2.456752655538695,4
30,0.887943081,0.810355396,3,1313,2.4584920030464583,2
31,0.9107358809999999,0.791620152,5,1339,2.4630321135175506,0
32,0.8942000529999999,0.81190878,1,1313,2.4584920030464583,4
33,0.9168030540000001,0.7753195940000001,3,1640,2.472560975609756,2
34,0.918575384,0.7959285220000001,0,1355,2.4442804428044282,5
35,0.912561944,0.8032686040000001,0,1318,2.4575113808801214,5
36,0.8985747079999999,0.8076740859999999,5,1313,2.4584920030464583,0
37,0.886931935,0.812817848,3,1312,2.4588414634146343,2
38,0.903069683,0.790823025,3,1319,2.4594389689158453,2
39,0.892022599,0.806689447,4,1313,2.4584920030464583,1
40,0.8987807590000001,0.793080343,3,1314,2.45738203957382,2
41,0.9007603270000001,0.8096388459999999,4,1313,2.4584920030464583,1
42,0.9033833590000001,0.8199924690000001,3,1313,2.4546839299314547,2
43,0.892658871,0.804313649,0,1313,2.4584920030464583,5
44,0.8904641520000001,0.77164296,2,1303,2.455103607060629,3
45,0.8825189509999999,0.8052121440000001,5,1312,2.4588414634146343,0
46,0.9070648000000001,0.7786283,1,1371,2.462436177972283,4
47,0.8884541840000001,0.814076056,2,1313,2.4584920030464583,3
48,0.893472569,0.791926592,1,1313,2.4584920030464583,4
49,0.897302211,0.783961943,2,1314,2.458904109589041,3
